iter	Passed	Remaining
402	20825	30850
403	20846	30753
404	20868	30659
405	20891	30566
406	20923	30485
407	20954	30404
408	20978	30313
409	21002	30223
410	21026	30132
411	21048	30040
412	21072	29949
413	21096	29860
414	21128	29783
415	21161	29707
416	21185	29619
417	21207	29528
418	21232	29442
419	21254	29352
420	21281	29268
421	21305	29181
422	21336	29103
423	21369	29030
424	21400	28953
425	21424	28867
426	21447	28780
427	21472	28696
428	21497	28612
429	21523	28531
430	21559	28461
431	21588	28384
432	21609	28296
433	21629	28208
434	21651	28122
435	21672	28035
436	21696	27952
437	21717	27865
438	21745	27788
439	21775	27713
440	21808	27644
441	21834	27564
442	21859	27484
443	21883	27403
444	21906	27321
445	21932	27243
446	21959	27167
447	21988	27092
448	22016	27018
449	22039	26937
450	22061	26855
451	22082	26772
452	22106	26693
453	22129	26613
454	22150	26531
455	22176	26456
456	22204	26382
457	22236	26314
458	22263	26240
459	22287	26163
460	22309	26084
461	22334	26008
462	22357	25930
463	22384	25857
464	22416	25790
465	22448	25723
466	22476	25652
467	22501	25578
468	22523	25500
469	22548	25426
470	22573	25352
471	22595	25276
472	22625	25208
473	22655	25140
474	22687	25075
475	22710	25000
476	22732	24924
477	22757	24852
478	22781	24779
479	22809	24709
480	22841	24646
481	22862	24570
482	22886	24498
483	22907	24422
484	22928	24347
485	22953	24276
486	22981	24208
487	23013	24145
488	23037	24073
489	23058	24000
490	23082	23928
491	23106	23857
492	23128	23785
493	23152	23714
494	23173	23641
495	23200	23575
496	23229	23510
497	23260	23447
498	23289	23382
499	23314	23314
500	23337	23243
501	23360	23173
502	23381	23102
503	23405	23034
504	23435	22971
505	23464	22908
506	23494	22845
507	23519	22779
508	23541	22708
509	23564	22639
510	23584	22569
511	23607	22500
512	23635	22437
513	23666	22377
514	23700	22319
515	23726	22254
516	23747	22186
517	23771	22119
518	23797	22055
519	23818	21986
520	23841	21919
521	23873	21861
522	23907	21805
523	23936	21743
524	23960	21678
525	23984	21613
526	24004	21545
527	24026	21478
528	24051	21414
529	24079	21353
530	24112	21297
531	24138	21234
532	24159	21168
533	24183	21104
534	24205	21038
535	24228	20973
536	24250	20908
537	24279	20849
538	24314	20795
539	24344	20738
540	24370	20676
541	24394	20614
542	24418	20551
543	24439	20486
544	24463	20423
545	24485	20359
546	24521	20307
547	24554	20253
548	24582	20193
549	24606	20132
550	24629	20070
551	24657	20011
552	24684	19952
553	24711	19894
554	24742	19838
555	24770	19780
556	24794	19720
557	24819	19660
558	24843	19599
559	24866	19537
560	24889	19476
561	24911	19415
562	24941	19359
563	25000	19326
564	25026	19268
565	25048	19207
566	25070	19145
567	25091	19084
568	25116	19024
569	25138	18963
570	25166	18907
571	25193	18851
572	25224	18797
573	25248	18738
574	25272	18679
575	25296	18621
576	25325	18566
577	25349	18507
578	25375	18451
579	25407	18398
580	25436	18343
581	25461	18286
582	25481	18226
583	25507	18169
584	25528	18109
585	25550	18051
586	25574	17993
587	25612	17946
588	25672	17914
589	25702	17861
