iter	MultiClass
126	0.6260629019
127	0.6251912205
128	0.6243047342
129	0.6238640781
130	0.623379785
131	0.6232292272
132	0.6230560926
133	0.6227402942
134	0.6222894539
135	0.6220974123
136	0.6219962156
137	0.6217582255
138	0.6211540101
139	0.6207425442
140	0.6201514117
141	0.6199503713
142	0.6195372799
143	0.619154804
144	0.6190960871
145	0.6186964976
146	0.6182063472
147	0.6177574881
148	0.6172925436
149	0.6171490439
150	0.6170864201
151	0.6167361696
152	0.6165538437
153	0.6162942854
154	0.6159223299
155	0.6155697129
156	0.6153359787
157	0.6151411707
158	0.6148199428
159	0.6147633161
160	0.6147332642
161	0.6147019317
162	0.6143050742
163	0.6140693379
164	0.613822981
165	0.6136642191
166	0.6134904404
167	0.6133528663
168	0.6127860065
169	0.6126211009
170	0.6125354973
171	0.6122185494
172	0.6120403589
173	0.6115906877
174	0.6110947085
175	0.6109076574
176	0.6106215365
177	0.6104949203
178	0.6101523597
179	0.6098310435
180	0.609764839
181	0.6095197511
182	0.6092173283
183	0.6088839054
184	0.6087260747
185	0.6085103282
186	0.6079619139
187	0.6078377773
188	0.607444645
189	0.6072141909
190	0.607039719
191	0.6070003986
192	0.6065022871
193	0.6060810463
194	0.605920566
195	0.6058771987
196	0.6057349024
197	0.6055847111
198	0.6053527512
199	0.6047094075
200	0.6045026799
201	0.6041847385
202	0.6040883316
203	0.6037988084
204	0.6035174816
205	0.6032447983
206	0.6030662253
207	0.6030084038
208	0.6029535523
209	0.6027858107
210	0.6025906048
211	0.6024575189
212	0.6022511329
213	0.6022310236
214	0.602121119
215	0.6018709801
216	0.6017545201
217	0.6015755289
218	0.6015283808
219	0.6013132512
220	0.6007021128
221	0.6006515856
222	0.6004106759
223	0.6002433561
224	0.5999379943
225	0.5996953442
226	0.5988504762
227	0.5988025584
228	0.5985532707
229	0.5982581657
230	0.5979073776
231	0.5978016743
232	0.5976119527
233	0.5973297678
234	0.5972315256
235	0.5968693679
236	0.5964408956
237	0.5960324432
238	0.5956479002
239	0.595474262
240	0.5954155579
241	0.5952936087
242	0.5952683825
243	0.5951145636
244	0.5950762623
245	0.5950322541
246	0.594768192
247	0.59461578
248	0.5944001396
249	0.5943212204
250	0.5940030183
251	0.5937842804
252	0.5935948514
253	0.5934682535
254	0.5932999698
255	0.5931535821
256	0.5930338604
257	0.5927441448
258	0.5925761598
259	0.5924119367
260	0.5922889884
261	0.5919055348
262	0.5918640987
263	0.5917511792
264	0.5917158446
265	0.591601856
266	0.5915853215
267	0.5913743339
268	0.5911423692
269	0.5910947562
270	0.5910014527
271	0.5908783622
272	0.5907598915
273	0.5904961526
274	0.5904090755
275	0.5903483864
276	0.5902781374
277	0.5899525408
278	0.5897494827
279	0.5897326399
280	0.5896584932
281	0.5896448985
282	0.5895583017
283	0.5895337741
284	0.5894313419
285	0.5892121693
286	0.5891973222
287	0.5891495121
288	0.5890338297
289	0.5888893299
290	0.5887081592
291	0.5885097894
292	0.5884419738
293	0.5884318086
294	0.5882312434
295	0.5880594618
296	0.5877925615
297	0.5876202037
298	0.587283053
299	0.5870759226
300	0.5868608424
301	0.5867838019
302	0.5864622228
303	0.5863243114
304	0.5862611208
305	0.5856460314
306	0.585524837
307	0.5853744776
308	0.5852099223
309	0.5849252653
310	0.5847485108
311	0.5847197029
312	0.5846648244
313	0.5843475915
314	0.5841262869
315	0.5839893569
316	0.583969378
317	0.5836311228
318	0.5835010044
319	0.5834759744
320	0.5834031259
321	0.5832075406
322	0.5829940038
323	0.5826248511
324	0.5826106592
325	0.5824974972
326	0.5824845146
327	0.5824528812
328	0.5823683151
329	0.5822664893
330	0.5822195297
331	0.5821799633
332	0.5821349714
333	0.582104472
334	0.5818104246
335	0.581689162
336	0.5816230799
337	0.5814261703
338	0.5812371634
339	0.5811047347
340	0.5810819145
341	0.5810342939
342	0.5808335451
343	0.5807671374
344	0.5805047318
345	0.5802549356
346	0.5799389316
347	0.5797620814
348	0.5796303786
349	0.5795065794
350	0.5793127163
351	0.579290748
352	0.5790940564
353	0.57879967
354	0.5786764341
355	0.5785118917
356	0.5784438362
357	0.5784337951
358	0.5783594356
359	0.5783474878
360	0.5782199496
361	0.5780932234
362	0.5780409017
363	0.5778911147
364	0.577741475
365	0.5776831834
366	0.5776006049
367	0.5775678748
368	0.577438871
369	0.5773324072
370	0.5769806421
371	0.5768123899
372	0.5763078227
373	0.5762936657
374	0.5762684116
375	0.5762072106
376	0.5761067842
377	0.5760076861
378	0.5758158379
379	0.5757638758
380	0.5756690418
381	0.5754635247
382	0.5753339043
383	0.5752272791
384	0.5751757825
385	0.5749671326
386	0.5749318135
387	0.5744931253
388	0.5743795547
389	0.5742021794
390	0.5741323437
391	0.5740351627
392	0.5738290547
393	0.5736984529
394	0.5732908713
395	0.5732162865
396	0.5730402545
397	0.5730252622
398	0.5728872764
399	0.5727834509
400	0.5724130917
401	0.5721028396
402	0.5720119055
403	0.5719862809
404	0.5718909537
405	0.5718634254
406	0.5717819112
407	0.5716635877
408	0.5716019208
409	0.5714096848
410	0.5711658928
411	0.5711457453
412	0.5709958749
413	0.5708981467
414	0.5705781487
415	0.570182124
416	0.5701178711
417	0.5699943741
418	0.5697871063
419	0.569662642
420	0.5692705157
421	0.569002169
422	0.5689703292
423	0.5685225673
424	0.5682925234
425	0.5682752873
426	0.5682599388
427	0.5681060658
428	0.5678863779
429	0.5677866193
430	0.5674592884
431	0.5673750993
432	0.5673605732
433	0.5673308592
434	0.5672627611
435	0.5672553756
436	0.5671181639
437	0.567088762
438	0.5669488145
439	0.5667392937
440	0.5665866648
441	0.5664755124
442	0.5664107696
443	0.5662435618
444	0.5660480172
445	0.5657257315
446	0.5656777096
447	0.5655833007
448	0.5655703089
449	0.5655173917
450	0.5654289475
451	0.5654175585
452	0.5652002758
453	0.5651717299
454	0.565071247
455	0.565045828
456	0.5649634033
457	0.5648409801
458	0.5648027679
459	0.5645289153
460	0.5644629246
461	0.5643114984
462	0.5642188
463	0.5641074412
464	0.5639724216
465	0.5639216096
466	0.5637449444
467	0.5634540351
468	0.5632515667
469	0.5630722987
470	0.5627953916
471	0.5627224756
472	0.5626624858
473	0.562651868
474	0.5623850877
475	0.5623383836
476	0.5622494602
477	0.5619980785
478	0.5617523114
479	0.5615558738
480	0.5614063525
481	0.561349817
482	0.5612897883
483	0.5612756575
484	0.5612606735
485	0.560990009
486	0.560920626
487	0.5608032471
488	0.5607685729
489	0.560724098
490	0.5605888881
491	0.5602688717
492	0.5602172587
493	0.5600498564
494	0.5600135502
495	0.5598924585
496	0.5598137892
497	0.5595880129
498	0.5594691731
499	0.5593012836
500	0.5592929868
501	0.5592649739
502	0.5592279151
503	0.5589147569
504	0.5587348391
505	0.5586528782
506	0.5586286641
507	0.5582673893
508	0.5582577382
509	0.5578563012
510	0.55784794
511	0.5577383288
512	0.5576186607
513	0.5574749567
514	0.5573765183
515	0.5571423863
516	0.5570478542
517	0.5569003828
518	0.556506108
519	0.5564955984
520	0.5564406082
521	0.556342735
522	0.55624222
523	0.5559844235
524	0.5558060308
525	0.5556139943
526	0.5556023286
527	0.5555046554
528	0.5554770004
529	0.5554566788
530	0.5552342044
531	0.5551512904
532	0.5551425604
533	0.5550397307
534	0.55501491
535	0.5549387866
536	0.5548446783
537	0.5546840384
538	0.5544032213
539	0.554391089
540	0.5542616216
541	0.5541442249
542	0.5540458372
543	0.5540364428
544	0.5536790127
545	0.5536660606
546	0.5531336264
547	0.552970318
548	0.5528684636
549	0.5527484213
550	0.552695651
551	0.5525437193
552	0.5524169731
553	0.5523586204
554	0.5522375633
555	0.55220936
556	0.5521288927
557	0.5519918919
558	0.5518542477
559	0.551753762
560	0.5516685975
561	0.5516514413
562	0.5515902992
563	0.5515136389
564	0.5512599911
565	0.5512089554
566	0.5511911448
567	0.551056484
568	0.5509493816
569	0.5508196606
570	0.5507953951
571	0.5507624215
572	0.5505055755
573	0.5504926163
574	0.5503250713
575	0.550141412
576	0.5498523574
577	0.5497252877
578	0.5494228877
579	0.5493443309
580	0.5492916538
581	0.5492477014
582	0.5492404407
583	0.5490535082
584	0.5490400571
585	0.5489836468
586	0.5489732921
587	0.5488390533
588	0.5487220733
589	0.5486212013
590	0.5484485888
591	0.5484110093
592	0.5483916243
593	0.5482354352
594	0.5479256584
595	0.5477250233
596	0.5475753829
597	0.5473378673
598	0.5471130047
599	0.5470333147
600	0.5469830059
601	0.5468402297
602	0.5466866304
603	0.5466324654
604	0.5465566696
605	0.5464110812
606	0.5462250184
607	0.5461283636
608	0.5458143847
609	0.5458030224
610	0.5456425925
611	0.5456118799
612	0.545601967
613	0.5453170173
614	0.545197116
615	0.544989285
616	0.5447442196
617	0.5445866374
618	0.5443400535
619	0.5441114574
620	0.5439166653
621	0.543737584
622	0.5437276405
623	0.5437095842
624	0.5436728128
625	0.5436396172
626	0.5435740971
627	0.5435217049
628	0.5434840077
629	0.5434636621
630	0.5434383042
631	0.5434244992
632	0.5433079586
633	0.5432087432
634	0.5430132326
635	0.5429962656
636	0.5429703163
637	0.5428863191
638	0.5427946713
639	0.5426160066
640	0.5424810465
641	0.542379892
642	0.5420730103
643	0.5420648659
644	0.5418853609
645	0.5417978429
646	0.5417548481
647	0.5415788861
648	0.5415061014
649	0.5413391638
650	0.5412892338
651	0.541153191
652	0.5410403948
653	0.5405822548
654	0.5403979175
655	0.5403644078
656	0.5402802915
657	0.5402306841
658	0.5400456717
659	0.5398996387
660	0.5398587718
661	0.5395733885
662	0.5392640852
663	0.5389974436
664	0.5388230427
665	0.5386468234
666	0.5385986167
667	0.5385496894
668	0.5384115181
669	0.5383772065
670	0.5383111852
671	0.5382930418
672	0.5382272562
673	0.5380638703
674	0.5379120526
675	0.5376546308
676	0.5376364049
677	0.5375594964
678	0.5375120428
679	0.5374393854
680	0.5374306623
681	0.5373280619
682	0.5371438905
683	0.5371371843
684	0.5368558128
685	0.5368510632
686	0.5368421432
687	0.5367889546
688	0.5366478446
689	0.5365211331
690	0.5364649714
691	0.5364488415
692	0.5364305114
693	0.53633475
694	0.5362811717
695	0.5361790666
696	0.5361102812
697	0.5360287848
698	0.5360094515
699	0.5357941369
700	0.5357811938
701	0.5356291342
702	0.5355316791
703	0.5354089976
704	0.5353950558
705	0.5351520235
706	0.5351363478
707	0.5350784058
708	0.5349998034
709	0.5349042297
710	0.53474953
711	0.5347219033
712	0.534713056
713	0.5346273282
714	0.534403477
715	0.5341136147
716	0.5339893772
717	0.5339671015
718	0.5338236707
719	0.5332664088
720	0.5332200062
721	0.5330655196
722	0.5329627008
723	0.5327383001
724	0.5326818504
725	0.532545557
726	0.5323904307
727	0.5323098574
728	0.5321917305
729	0.5320256331
730	0.5319201884
731	0.5318877339
732	0.5316192285
733	0.5315816563
734	0.5314886336
735	0.5314808628
736	0.5314599367
737	0.5314098881
738	0.5312909158
739	0.5312806635
740	0.5311550201
741	0.5311117345
742	0.5310116218
743	0.5310065885
744	0.530739805
745	0.5306929215
746	0.5305758738
747	0.5304804753
748	0.5303764036
749	0.5301699649
750	0.5301586413
751	0.5301016187
752	0.5299678636
753	0.5296785402
754	0.5295625911
755	0.5295287651
756	0.529379082
757	0.5293528795
758	0.5291699742
759	0.5290196615
760	0.5289296132
761	0.5287743938
762	0.5287614243
763	0.5284283271
764	0.5282426144
765	0.5282073042
766	0.5280630033
767	0.5279783374
768	0.5277998705
769	0.5277753932
770	0.5276403171
771	0.5276332542
772	0.5276140196
773	0.5275011151
774	0.5272855261
775	0.5271379354
776	0.527046979
777	0.5269535559
778	0.526782287
779	0.5267349281
780	0.5266065804
781	0.5264272902
782	0.5262206478
783	0.5261104367
784	0.526025861
785	0.5260138785
786	0.5259708799
787	0.5258529598
788	0.5256992224
789	0.5256869537
790	0.5255543268
791	0.5254973687
792	0.5252609739
793	0.5249826073
794	0.5248379965
795	0.5247702452
796	0.5246167647
797	0.5245115269
798	0.5243884755
799	0.5243338327
800	0.5243136837
801	0.5241128646
802	0.5239550983
803	0.523707492
804	0.52355206
805	0.5235102973
806	0.5234570405
807	0.5234463661
808	0.5232560836
809	0.5231234937
810	0.5228987096
811	0.5228162458
812	0.522582564
813	0.5223600612
814	0.5223278326
815	0.522217079
816	0.5219759277
817	0.5219711067
818	0.5218907477
819	0.5216494359
820	0.5212857853
821	0.5212541146
822	0.5212236838
823	0.5210482959
824	0.5209707535
825	0.5208492053
826	0.5208192761
827	0.5207884124
828	0.5206750236
829	0.5206075385
830	0.5205108107
831	0.5204677455
832	0.5204495318
833	0.5204309745
834	0.5199969101
835	0.5198232289
836	0.5194869279
837	0.5192224047
838	0.5191509814
839	0.5191002085
840	0.5190619798
841	0.5189995218
842	0.5189369332
843	0.5186887677
844	0.5186727238
845	0.5186419443
846	0.5184619017
847	0.518433897
848	0.5183788894
849	0.5181570082
850	0.5179564657
851	0.5178608851
852	0.5178203703
853	0.5177580399
854	0.5176729238
855	0.5176684444
856	0.5176132787
857	0.5175521837
858	0.5175244921
859	0.5175190047
860	0.5174583584
861	0.5169390195
862	0.5166668968
863	0.5166335115
864	0.516594252
865	0.5165656468
866	0.5164803843
867	0.5163910764
868	0.5160904816
869	0.5159536875
870	0.5158141566
871	0.5157778666
872	0.5155801662
873	0.5155134227
874	0.5153237275
875	0.515135702
876	0.5149918355
877	0.5148494672
878	0.5148245688
879	0.5145150772
880	0.5144682506
881	0.5143411651
882	0.5143007785
883	0.5140727146
884	0.5140404051
885	0.5138857768
886	0.5136268169
887	0.5134385668
888	0.5132616727
889	0.5129368492
890	0.5128082938
891	0.5127524136
892	0.5126287914
893	0.5124604739
894	0.5123885286
895	0.5122723742
896	0.5120148321
897	0.5119689259
898	0.5119442002
899	0.5119339922
900	0.5118991528
901	0.5118475606
902	0.5117060157
903	0.5115925098
904	0.5115874074
905	0.5114392873
906	0.5112984334
907	0.511283825
908	0.5111088148
909	0.5108464736
910	0.5108410049
911	0.5106655091
912	0.5105013959
913	0.5104740535
914	0.5103108348
915	0.5102114162
916	0.5100590709
917	0.5098968665
918	0.5098116175
919	0.5095812685
920	0.5094252358
921	0.5094071465
922	0.5093734119
923	0.5092798947
924	0.5092652916
925	0.5091943808
926	0.509051678
927	0.5089639352
928	0.5089078465
929	0.5088921536
930	0.5088825375
931	0.5086739054
932	0.5085238384
933	0.5084820545
934	0.5083405292
935	0.5082066117
936	0.508192107
937	0.5081287783
938	0.5081212712
939	0.5079748516
940	0.507970105
941	0.5079258759
942	0.5078540807
943	0.5076762304
944	0.5076656905
945	0.507575575
946	0.5074997869
947	0.5074134548
948	0.5073374831
949	0.5073152598
950	0.5072962587
951	0.5070964217
952	0.5070904398
953	0.5070828112
954	0.5069171743
955	0.5068417037
956	0.5066713721
957	0.5066149888
958	0.5065271386
959	0.5063949079
960	0.5062458061
961	0.5061448169
962	0.5059234396
963	0.5058932298
964	0.5057609809
965	0.5056900695
966	0.5055590238
967	0.5053432229
968	0.5053289365
969	0.5052796888
970	0.5051273497
971	0.5050456219
972	0.5049987604
973	0.5048943096
974	0.5048307898
975	0.504783742
976	0.5046557194
977	0.5045922147
978	0.5044336928
979	0.5044278341
980	0.504313952
981	0.5042858855
982	0.5041765973
983	0.5038497115
984	0.5037664518
985	0.5037229215
986	0.5035038934
987	0.503181213
988	0.5030954168
989	0.5030288847
990	0.5028655018
991	0.5028606187
992	0.5028471314
993	0.5027264
994	0.5024989119
995	0.5023530611
996	0.5021635762
997	0.5019968946
998	0.5019195553
999	0.5017411907
